Freq.	V(n003)	V(n002)	V(n001)	I(C1)	I(L1)	I(R2)	I(R1)	I(V1)
1.57069282207635e+05	1.40224411238312e-05,-2.65217774004983e-03	9.99998817015594e-01,2.23747358431804e-04	1.00000000000000e+00,0.00000000000000e+00	3.03919603103496e-09,1.60686619020370e-11	1.27476767881335e-02,-2.41107067275651e+00	1.27476737489375e-02,-2.41107067277257e+00	-1.27476767886813e-02,2.41107067275651e+00	-1.27476767884218e-02,2.41107067275651e+00
1.57431364297848e+05	1.39580156364620e-05,-2.64607824035985e-03	9.99998822450762e-01,2.23232782457963e-04	1.00000000000000e+00,8.67361737988404e-19	3.03919642136763e-09,1.60317070465610e-11	1.26891081632528e-02,-2.40552567303838e+00	1.26891051240564e-02,-2.40552567305441e+00	-1.26891081633965e-02,2.40552567303838e+00	-1.26891081636131e-02,2.40552567303838e+00
1.57794281073483e+05	1.38938861408844e-05,-2.63999276679050e-03	9.99998827860960e-01,2.22719389778660e-04	1.00000000000000e+00,8.67361737988404e-19	3.03919680990699e-09,1.59948371706799e-11	1.26308086218190e-02,-2.39999342433900e+00	1.26308055826221e-02,-2.39999342435500e+00	-1.26308086212390e-02,2.39999342433900e+00	-1.26308086219069e-02,2.39999342433900e+00
1.58158034458689e+05	1.38300512772902e-05,-2.63392128709869e-03	9.99998833246301e-01,2.22207177673754e-04	1.00000000000000e+00,0.00000000000000e+00	3.03919719666127e-09,1.59580520790434e-11	1.25727769276428e-02,-2.39447389734648e+00	1.25727738884456e-02,-2.39447389736244e+00	-1.25727769275644e-02,2.39447389734648e+00	-1.25727769282093e-02,2.39447389734648e+00
1.58522626382049e+05	1.37665096921178e-05,-2.62786376911538e-03	9.99998838606900e-01,2.21696143429348e-04	1.00000000000000e+00,0.00000000000000e+00	3.03919758163867e-09,1.59213515767501e-11	1.25150118502137e-02,-2.38896706281625e+00	1.25150088110162e-02,-2.38896706283217e+00	-1.25150118489244e-02,2.38896706281625e+00	-1.25150118492456e-02,2.38896706281625e+00
1.58888058776593e+05	1.37032600380231e-05,-2.62182018074544e-03	9.99998843942871e-01,2.21186284337776e-04	1.00000000000000e+00,-8.67361737988404e-19	3.03919796484736e-09,1.58847354693459e-11	1.24575121646735e-02,-2.38347289157088e+00	1.24575091254755e-02,-2.38347289158676e+00	-1.24575121638345e-02,2.38347289157088e+00	-1.24575121644739e-02,2.38347289157088e+00
1.59254333579808e+05	1.36403009738513e-05,-2.61579048996739e-03	9.99998849254327e-01,2.20677597697597e-04	1.00000000000000e+00,0.00000000000000e+00	3.03919834629545e-09,1.58482035628235e-11	1.24002766517904e-02,-2.37799135449996e+00	1.24002736125921e-02,-2.37799135451581e+00	-1.24002766508101e-02,2.37799135449996e+00	-1.24002766515332e-02,2.37799135449996e+00
1.59621452733647e+05	1.35776311646081e-05,-2.60977466483335e-03	9.99998854541380e-01,2.20170080813564e-04	1.00000000000000e+00,0.00000000000000e+00	3.03919872599105e-09,1.58117556636210e-11	1.23433040979333e-02,-2.37252242255996e+00	1.23433010587346e-02,-2.37252242257577e+00	-1.23433040979374e-02,2.37252242255996e+00	-1.23433040971577e-02,2.37252242255996e+00
1.59989418184538e+05	1.35152492814317e-05,-2.60377267346876e-03	9.99998859804142e-01,2.19663730996627e-04	1.00000000000000e+00,0.00000000000000e+00	3.03919910394220e-09,1.57753915786211e-11	1.22865932950461e-02,-2.36706606677400e+00	1.22865902558470e-02,-2.36706606678978e+00	-1.22865932933027e-02,2.36706606677400e+00	-1.22865932935383e-02,2.36706606677400e+00
1.60358231883398e+05	1.34531540015647e-05,-2.59778448407228e-03	9.99998865042726e-01,2.19158545563910e-04	1.00000000000000e+00,0.00000000000000e+00	3.03919948015692e-09,1.57391111151501e-11	1.22301430406219e-02,-2.36162225823179e+00	1.22301400014225e-02,-2.36162225824753e+00	-1.22301430405450e-02,2.36162225823179e+00	-1.22301430401421e-02,2.36162225823179e+00
